"Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP","make","MSRP2","id"
"FIAT","124 Spider",2017,"premium",160,4,"MANUAL","rear wheel drive","2","Compact","Sports_Cars",35,26,14.1589779985806,34643.7,"mainstream",0.0732983051486426,1
"FIAT","124 Spider",2017,"premium",160,4,"MANUAL","rear wheel drive","2","Compact","Sports_Cars",35,26,14.1589779985806,31493.7,"mainstream",0.075066138963513,2
"FIAT","124 Spider",2017,"premium",160,4,"MANUAL","rear wheel drive","2","Compact","Sports_Cars",35,26,14.1589779985806,35525.7,"mainstream",0.072839061085454,3
"BMW","2 Series",2016,"premium",240,4,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",35,23,69.1092973740241,42048,"Luxury",0.0698334766892315,4
"BMW","2 Series",2016,"premium",240,4,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",34,23,69.1092973740241,49472,"Luxury",0.067051752459649,5
"BMW","2 Series",2016,"premium",320,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",31,20,69.1092973740241,62400,"Luxury",0.0632708767532676,6
"BMW","2 Series",2016,"premium",240,4,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",35,23,69.1092973740241,44608,"Luxury",0.0688092480647846,7
"BMW","2 Series",2016,"premium",240,4,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",34,22,69.1092973740241,52032,"Luxury",0.0662113389001411,8
"BMW","2 Series",2016,"premium",320,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",31,20,69.1092973740241,56512,"Luxury",0.0648581908925188,9
"BMW","2 Series",2016,"premium",240,4,"MANUAL","rear wheel drive","2","Compact","Sports_Cars",34,22,69.1092973740241,42048,"Luxury",0.0698334766892315,10
"BMW","2 Series",2016,"premium",320,6,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",30,20,69.1092973740241,59072,"Luxury",0.0641437847084888,11
"BMW","2 Series",2016,"premium",320,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",30,20,69.1092973740241,64960,"Luxury",0.0626380884812879,12
"BMW","2 Series",2017,"premium",335,6,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",31,21,69.1092973740241,58527,"Luxury",0.0642925918731983,13
"BMW","2 Series",2017,"premium",335,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",32,21,69.1092973740241,61803,"Luxury",0.0634231211895331,14
"BMW","2 Series",2017,"premium",335,6,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",32,21,69.1092973740241,64323,"Luxury",0.0627925943930516,15
"BMW","2 Series",2017,"premium",335,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",32,21,69.1092973740241,56007,"Luxury",0.0650039013267341,16
"BMW","2 Series",2017,"premium",248,4,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",34,23,69.1092973740241,49077,"Luxury",0.0671862649434879,17
"BMW","2 Series",2017,"premium",248,4,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",35,24,69.1092973740241,41769,"Luxury",0.0699498005536889,18
"BMW","2 Series",2017,"premium",248,4,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",33,24,69.1092973740241,44289,"Luxury",0.0689328177460114,19
"BMW","2 Series",2017,"premium",248,4,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",33,23,69.1092973740241,51597,"Luxury",0.0663504522194389,20
"Chrysler","200",2015,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,32721,"mainstream",0.0743521203380883,21
"Chrysler","200",2015,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,31135,"mainstream",0.0752814165479315,22
"Chrysler","200",2015,"regular",295,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",29,18,17.6011355571327,38181,"mainstream",0.0715382274743937,23
"Chrysler","200",2015,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,28593.5,"mainstream",0.0769012094856335,24
"Chrysler","200",2015,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,34612.5,"mainstream",0.0733148174959726,25
"Chrysler","200",2015,"regular",295,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",29,18,17.6011355571327,40072.5,"mainstream",0.0706786735895562,26
"Chrysler","200",2016,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,28153.6,"mainstream",0.0771998605786876,27
"Chrysler","200",2016,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,35577.6,"mainstream",0.0728124824443509,28
"Chrysler","200",2016,"regular",295,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",29,18,17.6011355571327,40684.8,"mainstream",0.0704112336732602,29
"Chrysler","200",2016,"regular",295,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",29,18,17.6011355571327,38278.4,"mainstream",0.0714926764463101,30
"Chrysler","200",2016,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,28787.2,"mainstream",0.0767715207843214,31
"Chrysler","200",2016,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,35289.6,"mainstream",0.0729605864350441,32
"Chrysler","200",2016,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,32883.2,"mainstream",0.0742602627490043,33
"Chrysler","200",2016,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,31347.2,"mainstream",0.0751536903925101,34
"Chrysler","200",2017,"regular",295,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",28,18,17.6011355571327,37680.3,"mainstream",0.0717747043137709,35
"Chrysler","200",2017,"regular",295,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",28,18,17.6011355571327,40049.1,"mainstream",0.0706889954114582,36
"Chrysler","200",2017,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,33623.1,"mainstream",0.0738483101520181,37
"Chrysler","200",2017,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,28337.4,"mainstream",0.0770743728995976,38
"Chrysler","200",2017,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,32369.4,"mainstream",0.0745532083286247,39
"Chrysler","200",2017,"regular",295,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",28,18,17.6011355571327,38934,"mainstream",0.0711897952510237,40
"Chrysler","200",2017,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,35021.7,"mainstream",0.0730997167481852,41
"Chrysler","200",2017,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,27713.7,"mainstream",0.0775044024300985,42
"Chrysler","200",2017,"regular",184,4,"AUTOMATIC","front wheel drive","4","Midsize","Sedan",36,23,17.6011355571327,30857.4,"mainstream",0.0754501604099549,43
"Mazda","2",2014,"regular",100,4,"AUTOMATIC","front wheel drive","4","Compact","Sedan",34,28,10.0248403122782,22165,"mainstream",0.0819564363596888,44
"Mazda","2",2014,"regular",100,4,"AUTOMATIC","front wheel drive","4","Compact","Sedan",34,28,10.0248403122782,20228,"mainstream",0.0838516791267258,45
"Mazda","2",2014,"regular",100,4,"MANUAL","front wheel drive","4","Compact","Sedan",35,29,10.0248403122782,21073,"mainstream",0.0829981492356924,46
"Mazda","2",2014,"regular",100,4,"MANUAL","front wheel drive","4","Compact","Sedan",35,29,10.0248403122782,19136,"mainstream",0.0850231536087553,47
"BMW","3 Series Gran Turismo",2015,"premium",300,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",30,20,69.1092973740241,61425,"Luxury",0.0635204708561895,48
"BMW","3 Series Gran Turismo",2015,"premium",240,4,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",33,22,69.1092973740241,54405,"Luxury",0.0654772296903583,49
"BMW","3 Series Gran Turismo",2015,"premium",240,4,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",33,22,69.1092973740241,54405,"Luxury",0.0654772296903583,50
"BMW","3 Series Gran Turismo",2016,"premium",240,4,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",34,22,69.1092973740241,55040,"Luxury",0.0652875533443432,51
"BMW","3 Series Gran Turismo",2016,"premium",300,6,"AUTOMATIC","four wheel drive","4","Midsize","Sedan",30,20,69.1092973740241,62976,"Luxury",0.0631257036130756,52
