"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP","make","MSRP2","id"
"1","FIAT","124 Spider",2017,"premium",160,4,"MANUAL","rear wheel drive","2","Compact","Sports_Cars",35,26,14.1589779985806,34643.7,"mainstream",0.0732983051486426,1
"2","FIAT","124 Spider",2017,"premium",160,4,"MANUAL","rear wheel drive","2","Compact","Sports_Cars",35,26,14.1589779985806,31493.7,"mainstream",0.075066138963513,2
"3","FIAT","124 Spider",2017,"premium",160,4,"MANUAL","rear wheel drive","2","Compact","Sports_Cars",35,26,14.1589779985806,35525.7,"mainstream",0.072839061085454,3
"4","BMW","2 Series",2016,"premium",240,4,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",35,23,69.1092973740241,42048,"Luxury",0.0698334766892315,4
"5","BMW","2 Series",2016,"premium",240,4,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",34,23,69.1092973740241,49472,"Luxury",0.067051752459649,5
"6","BMW","2 Series",2016,"premium",320,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",31,20,69.1092973740241,62400,"Luxury",0.0632708767532676,6
"7","BMW","2 Series",2016,"premium",240,4,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",35,23,69.1092973740241,44608,"Luxury",0.0688092480647846,7
"8","BMW","2 Series",2016,"premium",240,4,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",34,22,69.1092973740241,52032,"Luxury",0.0662113389001411,8
"9","BMW","2 Series",2016,"premium",320,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",31,20,69.1092973740241,56512,"Luxury",0.0648581908925188,9
"10","BMW","2 Series",2016,"premium",240,4,"MANUAL","rear wheel drive","2","Compact","Sports_Cars",34,22,69.1092973740241,42048,"Luxury",0.0698334766892315,10
"11","BMW","2 Series",2016,"premium",320,6,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",30,20,69.1092973740241,59072,"Luxury",0.0641437847084888,11
"12","BMW","2 Series",2016,"premium",320,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",30,20,69.1092973740241,64960,"Luxury",0.0626380884812879,12
"13","BMW","2 Series",2017,"premium",335,6,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",31,21,69.1092973740241,58527,"Luxury",0.0642925918731983,13
"14","BMW","2 Series",2017,"premium",335,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",32,21,69.1092973740241,61803,"Luxury",0.0634231211895331,14
"15","BMW","2 Series",2017,"premium",335,6,"AUTOMATIC","four wheel drive","2","Compact","Sports_Cars",32,21,69.1092973740241,64323,"Luxury",0.0627925943930516,15
"16","BMW","2 Series",2017,"premium",335,6,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",32,21,69.1092973740241,56007,"Luxury",0.0650039013267341,16
"17","BMW","2 Series",2017,"premium",248,4,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",34,23,69.1092973740241,49077,"Luxury",0.0671862649434879,17
"18","BMW","2 Series",2017,"premium",248,4,"AUTOMATIC","rear wheel drive","2","Compact","Sports_Cars",35,24,69.1092973740241,41769,"Luxury",0.0699498005536889,18
